Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
afghanistan,"1,749","1,831","1,596","1,733","2,156","2,367","2,556","2,953","3,300","3,698",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4,367","4,553","5,146","6,167","6,925","8,556","10,297","12,066","15,325","17,890","20,293","20,170","20,616","20,057","18,020","18,883","18,336","18,876","20,136","14,278","14,501","17,248","17,248","17,248","17,248","17,248","17,248","17,248"
albania,"2,266","2,331","2,398","2,467","2,537","2,610","2,686","2,761","2,842","2,372","1,969","2,256","2,323","2,347","2,317","2,366","2,617","2,597","2,560","2,812","2,247","1,349",853,"1,478","2,389","2,916","3,238","2,251","2,585","3,264","3,529","3,974","4,408","5,628","7,263","8,148","9,002","10,804","13,035","12,187","12,079","13,052","12,470","12,936","13,404","11,525","12,003","13,209","15,337","15,582","15,271","18,086","19,185","23,388","27,259","28,372","29,743","31,382","33,354","35,462"
algeria,"5,167","5,376","7,193","9,250","13,290","15,591","17,790","21,038","26,433","33,276","45,957","48,156","48,599","51,582","55,906","66,346","66,783","68,698","56,070","57,041","67,171","50,650","53,414","55,309","46,044","45,654","50,945","52,287","52,297","53,011","59,418","59,413","61,516","73,482","91,914","107,047","123,084","142,483","180,384","150,317","177,785","218,332","227,144","229,701","238,943","187,494","180,764","190,004","194,507","193,361","164,774","185,850","225,709","247,789","264,913","268,885","269,435","274,520","279,983","285,271"
andorra,99,113,144,191,236,279,288,321,390,521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,429","1,547","1,758","2,362","2,896","3,158","3,456","3,952","4,082","3,675","3,446","3,625","3,189","3,193","3,267","2,789","2,895","2,993","3,217","3,155","2,885","3,325","3,376","3,786","4,038","4,035","4,169","4,301","4,438","4,583"
angola,"3,807","4,007","4,102","5,016","5,627","4,147","3,981","4,344","4,845","5,380","8,730","8,170","8,170","8,514","9,025","11,119","10,411","11,900","12,909","15,017","16,529","16,022","12,354","8,966","6,529","8,148","10,510","12,344","10,464","9,895","12,646","12,378","17,312","20,342","26,998","41,397","58,654","73,038","98,790","81,705","95,547","125,552","143,573","153,761","164,448","131,661","114,764","139,835","114,189","94,671","66,521","84,375","142,442","109,764","115,946","113,343","109,384","112,743","118,534","125,036"
antigua and barbuda,34,41,56,78,84,85,71,81,92,113,132,149,166,185,212,246,298,347,411,455,479,504,525,566,625,616,679,734,790,836,901,878,898,948,"1,026","1,144","1,304","1,487","1,558","1,387","1,298","1,287","1,365","1,325","1,379","1,437","1,490","1,535","1,662","1,726","1,412","1,602","1,867","2,006","2,225","2,373","2,493","2,606","2,723","2,846"
argentina,"33,985","40,655","37,908","41,468","47,637","51,741","54,575","61,662","63,865","73,987","233,696","189,802","94,250","116,267","130,544","98,599","118,565","121,561","142,386","91,352","158,024","211,979","255,787","264,429","287,835","288,497","304,282","327,436","334,244","316,998","317,759","300,421","112,458","142,431","164,911","199,273","232,892","287,921","363,545","334,633","424,729","527,644","579,666","611,471","563,614","642,464","556,774","643,861","524,431","446,762","385,218","486,040","632,318","645,511","632,145","683,533","715,376","715,766","712,668","738,395"
armenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,835,648,"1,287","1,597","1,639","1,892","1,845","1,912","2,118","2,376","2,807","3,577","4,900","6,384","9,206","11,662","8,648","9,260","10,142","10,619","11,121","11,610","10,553","10,546","11,527","12,458","13,619","12,642","13,879","19,514","24,086","25,533","26,258","26,681","27,893","29,523","31,388"
aruba,177,186,196,206,217,229,241,254,268,282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,321","1,380","1,532","1,665","1,723","1,873","1,896","1,962","2,044","2,255","2,360","2,470","2,678","2,843","2,554","2,454","2,638","2,615","2,728","2,791","2,963","2,984","3,092","3,276","3,341","2,486","2,929","3,279","3,649","3,952","4,100","4,286","4,481","4,643","4,797"
australia,"45,121","50,360","59,269","85,621","102,047","108,853","117,298","116,222","135,608","150,133","162,924","188,410","187,049","179,478","197,136","174,385","181,477","213,100","271,088","308,402","324,128","324,436","318,005","309,303","353,372","379,227","424,663","426,401","381,498","411,968","400,278","378,114","425,516","541,155","658,742","736,505","783,447","950,093","1,056,559","1,000,828","1,254,623","1,515,507","1,570,139","1,519,900","1,456,939","1,233,921","1,262,655","1,381,110","1,417,162","1,386,277","1,362,613","1,655,843","1,725,461","1,742,461","1,796,805","1,771,681","1,841,002","1,914,821","1,995,441","2,083,608"
austria,"15,336","17,816","22,007","29,444","35,104","39,962","42,856","51,423","61,901","73,763","80,481","69,738","69,727","70,644","66,640","68,248","96,842","121,104","132,860","132,534","165,953","173,481","194,436","189,342","202,854","239,914","236,044","211,978","217,363","216,637","196,268","196,479","212,687","260,714","299,075","314,126","333,924","386,806","429,187","398,857","390,146","428,879","407,008","426,587","438,669","379,584","393,579","414,780","452,787","443,033","434,050","480,786","472,339","512,509","521,269","534,301","551,918","572,442","591,248","609,827"
azerbaijan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,193","1,309","2,258","2,417","3,177","4,317","4,280","4,581","5,273","5,475","6,232","7,276","8,682","13,239","20,983","33,050","48,852","44,297","52,909","65,952","69,684","74,164","75,235","52,997","37,830","41,375","47,113","48,174","42,693","54,825","78,807","72,428","74,316","78,870","81,872","85,792","90,327","95,373"
bahamas,568,605,624,708,756,892,971,"1,162","1,336","1,579","2,598","2,692","3,031","3,373","3,603","3,923","4,241","4,669","4,855","5,473","5,218","5,128","5,125","5,097","5,372","5,653","5,950","6,332","6,833","7,684","8,076","8,318","8,881","8,870","9,055","9,836","10,167","10,618","10,526","9,982","10,096","10,070","10,720","10,396","10,974","11,672","11,745","12,237","12,616","13,016","9,958","11,369","13,136","14,338","14,761","15,178","15,636","16,153","16,703","17,280"
bahrain,422,455,576,820,"1,123","1,185","1,705","2,144","2,449","2,920","3,745","4,228","4,445","4,554","4,727","4,460","3,490","3,780","4,672","4,873","5,176","5,430","5,673","6,241","6,683","7,075","7,357","7,629","7,293","7,905","9,448","9,579","10,001","11,546","13,709","16,647","19,291","22,653","26,803","23,913","26,806","29,915","31,963","33,823","34,773","32,523","33,885","37,205","39,568","40,447","35,838","40,840","46,458","46,192","46,943","47,829","49,628","52,050","54,672","57,428"
bangladesh,"6,196","5,578","6,215","6,772","8,088","8,476","9,447","9,950","12,751","14,758","24,775","26,355","24,678","23,904","26,817","28,819","29,639","32,449","34,914","38,070","41,068","42,488","43,292","43,684","46,438","51,842","55,445","57,599","59,879","61,526","61,687","62,537","65,036","71,755","77,152","79,530","86,028","95,374","109,765","122,760","138,094","154,097","159,749","179,676","207,102","233,687","265,236","293,755","321,379","351,238","373,902","416,265","460,201","451,534","451,096","467,218","513,121","557,136","606,807","672,750"
barbados,216,243,278,339,405,476,517,588,658,798,"1,048","1,154","1,205","1,280","1,395","1,460","1,603","1,765","1,877","2,077","2,084","2,092","2,015","2,136","2,227","2,348","2,515","2,667","3,057","3,210","3,312","3,306","3,364","3,479","3,754","4,213","4,702","5,273","5,401","5,064","5,138","5,302","5,233","5,338","5,366","5,288","5,331","5,517","5,630","5,788","5,168","5,275","6,257","6,721","7,167","7,552","7,942","8,341","8,755","9,190"
